600
A,18,4
B,19,16
C,18,39
D,11,11
E,16,40
F,15,23
G,7,9
H,4,36
I,16,28
J,10,39
K,14,25
L,6,13
M,14,5
N,6,19
O,18,21
P,1,35
Q,5,16
R,4,26
S,6,33
T,4,36
U,4,18
V,4,22
W,16,11
X,20,38
Y,8,30
Z,10,27
AA,18,40
AB,15,20
AC,10,17
AD,4,7
AE,8,27
AF,3,13
AG,2,33
AH,15,39
AI,8,27
AJ,6,35
AK,17,19
AL,8,28
AM,1,9
AN,3,11
AO,11,19
AP,20,29
AQ,11,14
AR,15,39
AS,7,26
AT,15,40
AU,2,16
AV,15,7
AW,17,12
AX,20,38
AY,9,27
AZ,9,38
BA,6,10
BB,11,24
BC,15,30
BD,10,16
BE,16,4
BF,8,16
BG,19,39
BH,19,31
BI,7,30
BJ,6,5
BK,11,26
BL,19,25
BM,12,3
BN,12,25
BO,15,40
BP,8,19
BQ,5,32
BR,9,7
BS,8,22
BT,10,13
BU,18,22
BV,15,7
BW,18,17
BX,19,18
BY,14,36
BZ,9,18
CA,8,7
CB,11,36
CC,3,25
CD,8,16
CE,11,9
CF,5,38
CG,6,24
CH,1,27
CI,15,29
CJ,11,11
CK,2,10
CL,12,28
CM,7,30
CN,11,11
CO,7,24
CP,10,4
CQ,14,19
CR,2,15
CS,11,19
CT,12,13
CU,3,7
CV,3,6
